kap_kod,kap_zkr,kap_name
301,KPR,Kancelář prezidenta republiky
302,K PSP,Poslanecká sněmovna Parlamentu
303,K Sen,Senát Parlamentu
304,ÚV,Úřad vlády ČR
306,MZV,Ministerstvo zahraničních věcí
307,MO,Ministerstvo obrany
308,NBÚ,Národní bezpečnostní úřad
309,KVOP,Kancelář veřejného ochránce práv
312,MF,Ministerstvo financí
313,MPSV,Ministerstvo práce a sociálních věcí
314,MV,Ministerstvo vnitra
315,MŽP,Ministerstvo životního prostředí
317,MMR,Ministerstvo pro místní rozvoj
321,GAČR,Grantová agentura ČR
322,MPO,Ministerstvo průmyslu a obchodu
327,MD,Ministerstvo dopravy
328,ČTÚ,Český telekomunikační úřad
329,MZe,Ministerstvo zemědělství
333,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy"
334,MK,Ministerstvo kultury
335,MZd,Ministerstvo zdravotnictví
336,MSp,Ministerstvo spravedlnosti
343,ÚOOÚ,Úřad pro ochranu osobních údajů
344,ÚPV,Úřad průmyslového vlastnictví
345,ČSÚ,Český statistický úřad
346,ČÚZK,Český úřad zeměměřický a katastrální
348,ČBÚ,Český báňský úřad
349,ERÚ,Energetický regulační úřad
353,ÚOHS,Úřad pro ochranu hospodářské soutěže
355,ÚSTR,Ústav pro studium totalitních režimů
358,ÚS,Ústavní soud
361,AVČR,Akademie věd ČR
372,RRTV,Rada pro rozhlasové a televizní vysílání
374,SSHR,Správa státních hmotných rezerv
375,SÚJB,Státní úřad pro jadernou bezpečnost
377,TA ČR,Technologická agentura ČR
381,NKÚ,Nejvyšší kontrolní úřad
376,GIBS,Generální inspekce bezpečnostních sborů
371,ÚDHPSH,Úřad pro dohled nad hospodařením politických stran a politických hnutí
373,ÚPDI,Úřad pro přístup k dopravní infrastruktuře
378,NÚKIB,Národní úřad pro kybernetickou a informační bezpečnost
359,ÚNRR,Úřad Národní rozpočtové rady
362,NSA,Národní sportovní agentura
C E L K E M, Celkem, Celkem
