Year,czsal_all,czsal_podnik,czsal_nepodnik,czsal_all_2003,czsal_podnik_2003,czsal_nepodnik_2003,phasal_all,phasal_all_2003
2000-01-01,13219,13170,13457,16430,16149,17692,,
2001-01-01,14378,14304,14733,16430,16149,17692,20800,21590
2002-01-01,15524,15380,16197,16430,16149,17692,20364,21590
2003-01-01,16430,16149,17692,16430,16149,17692,21590,21590
2004-01-01,17466,17191,18714,16430,16149,17692,22914,21590
2005-01-01,18344,18019,19877,16430,16149,17692,23552,21590
2006-01-01,19546,19244,20977,16430,16149,17692,25175,21590
2007-01-01,20957,20661,22387,16430,16149,17692,26896,21590
2008-01-01,22592,22439,23334,16430,16149,17692,28830,21590
2009-01-01,23344,23104,24411,16430,16149,17692,30028,21590
2010-01-01,23864,23733,24453,16430,16149,17692,30842,21590
2011-01-01,24455,24447,24494,16430,16149,17692,31212,21590
2012-01-01,25112,25128,25037,16430,16149,17692,32621,21590
2013-01-01,25128,,,,,,32602,21590
