"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"Exekutiva",TRUE,"AvgSal_schvaleny",19257.3732097312,19257.3732097312,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"AvgSal_upraveny",15154.0567056319,15154.0567056319,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upraveny",FALSE,FALSE,FALSE
2003-01-01,"OSS-RO",TRUE,"Zam_schvaleny",219884,219884,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"PlatyOPPP_schvaleny",1200857,1200857,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","schvaleny",FALSE,TRUE,TRUE
2003-01-01,"UO - Ministerstva",FALSE,"OPPP_upr2skut",1.04570886762331,1.04570886762331,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upr2skut",TRUE,TRUE,TRUE
2003-01-01,"St. sprava se SOBCPO",TRUE,"Zam_uprMinusskut",3608,3608,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"PlatyOPPP_skutecnost",29163067.08,29163067.08,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"OPPP_upraveny",5658902,5658902,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upraveny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"AvgSal_schvaleny",15029.1034859253,15029.1034859253,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"OSS-RO",TRUE,"PlatyOPPP_upr2skut",1.0067648540194,1.0067648540194,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"OPPP_uprMinusskut",72126.73,72126.73,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"AvgSal_skutecnost",19965.367844635,19965.367844635,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","skutecnost",FALSE,FALSE,FALSE
